"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 30 01:32:17 PDT 2024","Wed Oct 30 01:32:17 PDT 2024","738","Test Automation Suite","Firefox Tests","com.test.automation.tests.HomePageTest","com.test.automation.tests.HomePageTest","addProductTCart1","addProductTCart1",""
"passed","Wed Oct 30 01:31:53 PDT 2024","Wed Oct 30 01:31:58 PDT 2024","4854","Test Automation Suite","Chrome Tests","com.test.automation.tests.LoginTestNew","com.test.automation.tests.LoginTestNew","testSuccessfulLogin","testSuccessfulLogin",""
"passed","Wed Oct 30 01:32:04 PDT 2024","Wed Oct 30 01:32:05 PDT 2024","981","Test Automation Suite","Chrome Tests","com.test.automation.tests.HomePageTest","com.test.automation.tests.HomePageTest","addProductTCart1","addProductTCart1",""
"passed","Wed Oct 30 01:32:04 PDT 2024","Wed Oct 30 01:32:05 PDT 2024","1180","Test Automation Suite","Chrome Tests","com.test.automation.tests.HomePageTestNew","com.test.automation.tests.HomePageTestNew","addProductTCart1","addProductTCart1",""
"passed","Wed Oct 30 01:31:50 PDT 2024","Wed Oct 30 01:31:57 PDT 2024","6683","Test Automation Suite","Chrome Tests","com.test.automation.tests.HomePageTestNew","com.test.automation.tests.HomePageTestNew","addProductTCart","addProductTCart",""
"passed","Wed Oct 30 01:31:50 PDT 2024","Wed Oct 30 01:31:55 PDT 2024","4617","Test Automation Suite","Chrome Tests","com.test.automation.tests.HomePageTest","com.test.automation.tests.HomePageTest","addProductTCart","addProductTCart",""
"passed","Wed Oct 30 01:32:10 PDT 2024","Wed Oct 30 01:32:16 PDT 2024","5203","Test Automation Suite","Firefox Tests","com.test.automation.tests.LoginTest","com.test.automation.tests.LoginTest","testSuccessfulLogin","testSuccessfulLogin",""
"passed","Wed Oct 30 01:31:49 PDT 2024","Wed Oct 30 01:31:58 PDT 2024","9180","Test Automation Suite","Chrome Tests","com.test.automation.tests.LoginTest","com.test.automation.tests.LoginTest","testSuccessfulLogin","testSuccessfulLogin",""
"passed","Wed Oct 30 01:32:12 PDT 2024","Wed Oct 30 01:32:13 PDT 2024","1031","Test Automation Suite","Firefox Tests","com.test.automation.tests.HomePageTest","com.test.automation.tests.HomePageTest","addProductTCart","addProductTCart",""
